,name,SAP,GEP,Affiliated_Secondary,latitude,longitude
0,Admiralty Primary School,0,0,0,1.4426347903311,103.800040119743
1,Ahmad Ibrahim Primary School,0,0,0,1.43315271543517,103.832942401086
2,Ai Tong School,1,0,0,1.3605834338904,103.833020333986
3,Alexandra Primary School,0,0,0,1.29133439161334,103.824424680531
4,Anchor Green Primary School,0,0,0,1.39036998654612,103.887165375933
5,Anderson Primary School,0,0,0,1.38426429436736,103.841392081119
6,Ang Mo Kio Primary School,0,0,0,1.36932176584608,103.839630858752
7,Anglo-Chinese School (Junior),0,0,1,1.30932252730174,103.841552127373
8,Anglo-Chinese School (Primary),0,1,1,1.31837054523521,103.835609732354
9,Angsana Primary School,0,0,0,1.34846568919477,103.951577056231
10,Beacon Primary School,0,0,0,1.38394936211823,103.773632022975
11,Bedok Green Primary School,0,0,0,1.32344593287992,103.937878976352
12,Bendemeer Primary School,0,0,0,1.32220848530291,103.865351336085
13,Blangah Rise Primary School,0,0,0,1.27614522920998,103.80861316604
14,Boon Lay Garden Primary School,0,0,0,1.34284013791617,103.712858381937
15,Bukit Panjang Primary School,0,0,0,1.37362179302436,103.769374904025
16,Bukit Timah Primary School,0,0,0,1.3372995575169,103.766828720721
17,Bukit View Primary School,0,0,0,1.34586054788695,103.75366641455
18,CHIJ (Katong) Primary,0,0,1,1.30648535277087,103.911105620496
19,CHIJ (Kellock),0,0,1,1.275022722964,103.828157564896
20,CHIJ Our Lady Queen of Peace,0,0,1,1.366603668561,103.767412204602
21,CHIJ Our Lady of Good Counsel,0,0,1,1.35742952269615,103.864009397373
22,CHIJ Our Lady of the Nativity,0,0,1,1.37330297140128,103.897575728303
23,CHIJ Primary (Toa Payoh),0,0,1,1.33275264711587,103.841847263786
24,CHIJ St. Nicholas Girls' School,1,0,1,1.37347687878916,103.834253269436
25,Canberra Primary School,0,0,0,1.45125024371543,103.815858858929
26,Canossa Catholic Primary School,0,0,1,1.32664424544839,103.882227964852
27,Cantonment Primary School,0,0,0,1.27547252623201,103.839962631748
28,Casuarina Primary School,0,0,0,1.37246063927999,103.957020286115
29,Catholic High School,1,1,1,1.3547230747166,103.844874676599
30,Cedar Primary School,0,0,0,1.3355885014312,103.87562104944
31,Changkat Primary School,0,0,0,1.33997334692002,103.952273949753
32,Chongfu School,0,0,0,1.43839562897006,103.839309173817
33,Chongzheng Primary School,0,0,0,1.35070739237744,103.951399541868
34,Chua Chu Kang Primary School,0,0,0,1.37775890093367,103.741832917421
35,Clementi Primary School,0,0,0,1.31506321827875,103.763144493687
36,Compassvale Primary School,0,0,0,1.39444529636566,103.897812229905
37,Concord Primary School,0,0,0,1.38026516111464,103.736554295636
38,Corporation Primary School,0,0,0,1.35099779872539,103.707593724342
39,Damai Primary School,0,0,0,1.33546106800406,103.921270169613
40,Dazhong Primary School,0,0,0,1.3591797447277,103.74847210784
41,De La Salle School,0,0,1,1.3947078296399,103.743201812831
42,East Spring Primary School,0,0,0,1.35268400746357,103.961676849165
43,Edgefield Primary School,0,0,0,1.40029783011552,103.907430523653
44,Elias Park Primary School,0,0,0,1.37505696315817,103.945289416873
45,Endeavour Primary School,0,0,0,1.45403837499301,103.817436231731
46,Eunos Primary School,0,0,0,1.32447629876368,103.904541254016
47,Evergreen Primary School,0,0,0,1.44415332824735,103.794577787757
48,Fairfield Methodist School (Primary),0,0,1,1.30100441916733,103.785455606827
