,Mall,latitude,longitude
0,100 AM,1.27468281482263,103.843488359469
1,313@Somerset,1.30101436404056,103.838360664485
2,Aperia,1.3097112065077,103.864326436447
3,Balestier Hill Shopping Centre,1.32559594839311,103.842571612968
4,Bugis Cube,1.2981408343975,103.855635339249
5,Bugis Junction,1.2991371723215,103.855450325604
6,Bugis+,1.30095171530648,103.855172625542
7,Capitol Piazza,1.29307884763132,103.851261982149
8,Cathay Cineleisure Orchard,1.30152101873533,103.836429655016
9,The Centrepoint,1.30145045537088,103.840034074858
10,City Square Mall,1.31138865009152,103.856626209616
11,CityLink Mall,1.29260349413333,103.854316064564
12,Duo,1.29953434891664,103.85840168774
13,Far East Plaza,1.30738819608479,103.833803262332
14,Funan,1.29134759697794,103.849989790085
15,Great World City,1.2934759620704,103.831975865363
16,HDB Hub,1.33201387005935,103.84984949662
17,ION Orchard,1.30473094842364,103.831465536872
18,Junction 8,1.35012457632394,103.848487134435
19,Knightsbridge,1.3029831225958,103.836283923443
20,Liat Towers,1.30508722710852,103.830722581168
21,Lucky Plaza,1.3044637897474,103.834005158524
22,Marina Bay Sands,1.28258336683978,103.860220223356
23,The Shoppes at Marina Bay Sands,1.28423496027027,103.85898228297
24,Marina Bay Link Mall,1.28019533269189,103.854207695749
25,Marina Square,1.29098635666276,103.857489825456
26,Millenia Walk,1.29267926922552,103.860302888543
27,Ngee Ann City,1.3022727300848,103.834899517575
28,Orchard Central,1.30083890839245,103.839434733899
29,Orchard Gateway,1.30160116957544,103.838868886519
30,Orchard Plaza,1.30126533062133,103.841151770455
31,Midpoint Orchard,1.30178778502846,103.838659766022
32,Palais Renaissance,1.30665484543191,103.829588045188
33,People's Park Centre,1.28580583517057,103.844032214205
34,People's Park Complex,1.28404487854559,103.842590753293
35,Plaza Singapura,1.30083413030923,103.845072743164
36,Raffles City,1.29408304748297,103.853339531257
37,Scotts Square,1.30580609670053,103.833059609864
38,Sim Lim Square,1.30302298414827,103.853038663425
39,Singapore Shopping Centre,1.28649701803051,103.844628721032
40,The South Beach,1.29498804392056,103.856276242094
41,Square 2,1.27822949964567,103.850812513482
42,Sunshine Plaza,1.30046735366415,103.850556061949
43,Suntec City,1.29350132535558,103.857307495824
44,Tanglin Mall,1.30485342102105,103.823883490852
45,Tanjong Pagar Centre,1.2755961982077,103.842393171342
46,Tekka Centre,1.30671098278725,103.85013440636
47,The Adelphi,1.29118503658447,103.851184338699
48,The Paragon,1.30375855987932,103.835240308481
49,Tiong Bahru Plaza,1.28645889472825,103.827015256194
50,The Poiz,1.33202729656296,103.868659488195
51,Thomson Plaza,1.35436282723449,103.83030941613
52,United Square,1.31719450988559,103.843611443038
53,Thomson V,1.35319495337208,103.835564729862
54,Velocity@Novena Square,1.31978949204523,103.844033569199
55,Wheelock Place,1.30467628730252,103.830642027577
56,Wisma Atria,1.30368769989282,103.833203583562
57,Zhongshan Mall,1.32694504484324,103.846554377679
58,Bedok Mall,1.32611970329469,103.929554495615
59,Century Square,1.35236829566862,103.943812302253
60,Our Tampines Hub,1.35349593581988,103.940139392679
61,Changi City Point,1.33403637902708,103.962917615531
62,Downtown East,1.37634338328669,103.955649279974
63,Djitsun Mall Bedok,1.32611970329469,103.929554495615
64,Eastpoint Mall,1.34269199750599,103.953050756306
65,Jewel Changi Airport,1.36006289399606,103.989989170512
66,Katong Shopping Centre,1.3040973115095,103.901515916971
