,name,latitude,longitude,opening_date
0,100 AM,1.274683,103.8435,1/12/2014
1,313@Somerset,1.301014,103.8384,3/12/2009
2,Aperia,1.309711,103.8643,5/5/2014
3,Balestier Hill Shopping Centre,1.325596,103.8426,1/1/1974
4,Bugis Cube,1.298141,103.8556,1/1/2009
5,Bugis Junction,1.299137,103.8555,8/9/1995
6,Bugis+,1.300952,103.8552,28/6/2012
7,Capitol Piazza,1.293079,103.8513,1/3/2015
8,Cathay Cineleisure Orchard,1.301521,103.8364,1/5/1999
9,The Centrepoint,1.30145,103.84,1/1/1983
10,City Square Mall,1.311389,103.8566,19/9/2009
11,CityLink Mall,1.292603,103.8543,1/7/2000
12,Duo,1.299534,103.8584,1/7/2019
13,Far East Plaza,1.307388,103.8338,1/1/1982
14,Funan,1.291348,103.85,28/6/2019
15,Great World City,1.293476,103.832,1/1/1997
16,HDB Hub,1.332014,103.8498,10/6/2022
17,ION Orchard,1.304731,103.8315,1/7/2009
18,Junction 8,1.350125,103.8485,18/11/1993
19,Knightsbridge,1.302983,103.8363,10/10/2013
20,Liat Towers,1.305087,103.8307,1/1/1965
21,Lucky Plaza,1.304464,103.834,24/10/1978
22,Marina Bay Sands,1.282583,103.8602,1/2/2011
23,The Shoppes at Marina Bay Sands,1.284235,103.859,1/2/2011
24,Marina Bay Link Mall,1.280195,103.8542,28/11/2010
25,Marina Square,1.290986,103.8575,1/1/1980
26,Millenia Walk,1.292679,103.8603,26/8/1999
27,Ngee Ann City,1.302273,103.8349,21/9/1993
28,Orchard Central,1.300839,103.8394,2/7/2009
29,Orchard Gateway,1.301601,103.8389,2/4/2014
30,Orchard Plaza,1.301265,103.8412,1/1/1975
31,Midpoint Orchard,1.301788,103.8387,1/1/1977
32,Palais Renaissance,1.306655,103.8296,6/1/1993
33,People's Park Centre,1.285806,103.844,1/1/1973
34,People's Park Complex,1.284045,103.8426,1/1/1973
35,Plaza Singapura,1.300834,103.8451,1/1/1974
36,Raffles City,1.294083,103.8533,1/1/1986
37,Scotts Square,1.305806,103.8331,1/11/2011
38,Sim Lim Square,1.303023,103.853,1/1/1987
39,Singapore Shopping Centre,1.286497,103.8446,1/1/1972
40,The South Beach,1.294988,103.8563,3/9/2015
41,Square 2,1.278229,103.8508,20/12/2007
42,Sunshine Plaza,1.300467,103.8506,1/1/2001
43,Suntec City,1.293501,103.8573,20/1/1994
44,Tanglin Mall,1.304853,103.8239,20/1/1995
45,Tanjong Pagar Centre,1.275596,103.8424,1/1/2016
46,Tekka Centre,1.306711,103.8501,1/1/1915
47,The Adelphi,1.291185,103.8512,1/1/1985
48,The Paragon,1.303759,103.8352,1/1/1998
49,Tiong Bahru Plaza,1.286459,103.827,1/1/1994
50,The Poiz,1.332027,103.8687,19/9/2022
51,Thomson Plaza,1.354363,103.8303,1/1/1981
52,United Square,1.317195,103.8436,19/8/2002
53,Thomson V,1.353195,103.8356,1/12/2019
54,Velocity@Novena Square,1.319789,103.844,19/1/2000
55,Wheelock Place,1.304676,103.8306,1/1/1994
56,Wisma Atria,1.303688,103.8332,1/1/1986
57,Zhongshan Mall,1.326945,103.8466,1/11/2013
58,Bedok Mall,1.32612,103.9296,3/12/2013
59,Century Square,1.352368,103.9438,2/1/1995
60,Our Tampines Hub,1.353496,103.9401,6/8/2017
61,Changi City Point,1.334036,103.9629,6/11/2011
62,Downtown East,1.376343,103.9556,25/11/2007
63,Djitsun Mall Bedok,1.32612,103.9296,29/9/1995
64,Eastpoint Mall,1.342692,103.9531,1/12/1996
65,Jewel Changi Airport,1.360063,103.99,18/10/2019
66,Katong Shopping Centre,1.304097,103.9015,1/1/1973
67,Katong Square,1.304777,103.9046,15/8/2016
68,Kallang Wave Mall,1.303075,103.8731,27/6/2014
69,Leisure Park Kallang,1.302301,103.8765,1/11/2007
70,i12 Katong,1.305223,103.905,18/11/2011
71,Parkway Parade,1.300917,103.9053,25/3/1984
72,Paya Lebar Square,1.318815,103.8926,30/8/2014
73,Roxy Square,1.304326,103.9041,1/1/2000
74,Singpost Centre,1.318997,103.8949,9/10/2017
75,Tampines 1,1.346335,103.934,9/4/2009
76,Tampines Mall,1.352527,103.9447,20/1/1995
77,White Sands,1.37245,103.9497,19/1/1996
78,City Plaza,1.314957,103.8934,1/1/1972
79,Elias Mall,1.377905,103.9423,1/1/1996
80,Loyang Point,1.366454,103.9646,1/1/2016
81,888 Plaza,1.437119,103.7953,29/4/1997
82,Admiralty Place,1.439386,103.8017,1/12/1996
83,AMK Hub,1.369389,103.8485,1/3/2005
84,Canberra Plaza,1.443495,103.8303,18/12/2020
85,Causeway Point,1.436008,103.7857,30/5/1999
86,Woodlands Civic Centre,1.435018,103.7869,1/1/2000
87,Broadway Plaza,1.371937,103.8459,1/1/1979
88,Djitsun Mall,1.32612,103.9296,1/8/2013
89,Jubilee Square,1.371786,103.8478,1/1/1979
90,Junction 8,1.350125,103.8485,1/1/1994
91,Junction Nine,1.433123,103.8417,1/1/2017
92,Marsiling Mall,1.433543,103.7799,15/12/2017
93,Northpoint City,1.428226,103.8364,1/1/1992
94,Sembawang Shopping Centre,1.441825,103.8248,1/1/1999
